,2,3,4,5,6,7,8,9,10,11
4, -0.28762696214219763, -0.25213483146067417, -0.20378293177212337, -0.16670327256753792, -0.1064783680789061, -0.4713797035347777, -0.4772886093640811, -0.5414462081128748, -0.5798031191239907, -0.7703180212014133
5, -0.2940775264294646, -0.2535657686212361, -0.21651713328288835, -0.1465826360969249, -0.12736471623405188, -0.4795264472683827, -0.5282262433633114, -0.5403024040030457, -0.5694776931447225, -0.7711741791875348
6, -0.28042569365260356, -0.2542170473204956, -0.2044215626892792, -0.16965777810070476, -0.13132209405501327, -0.49207508582280335, -0.5120894983760376, -0.548147608996288, -0.579849946409432, -0.7615294804436661
7, -0.2906518723994452, -0.23341011297575953, -0.20231532524807055, -0.1579471297422852, -0.10686237339543952, -0.47593814210014057, -0.5055050774986638, -0.5523525513585155, -0.5810708079930496, -0.7592089536020863
8, -0.28395834264515263, -0.24436156988101576, -0.19552377991917935, -0.1655822599920329, -0.10018345339836232, -0.47768448961555454, -0.4999562363238512, -0.5508781219662873, -0.5776593299550166, -0.7568503660835635
9, -0.27991460856122785, -0.2413818395188499, -0.20546035007889624, -0.16012351124834584, -0.10864679659580734, -0.46656423763535265, -0.509041095890411, -0.5425796085305288, -0.573337459722197, -0.7612507305669198
10, -0.28675631104909294, -0.23683794965732874, -0.2047318019653252, -0.1626609845517501, -0.1252722280087113, -0.4742907246195278, -0.5130694074356046, -0.5392257943574843, -0.576015395523144, -0.7606842962777289
11, -0.2892756478668965, -0.24565998002105888, -0.20045737932536545, -0.15834207185827037, -0.11424960158267844, -0.47810068461136623, -0.5051144933497875, -0.5377208818863177, -0.5766993993707694, -0.7630451499505657
12, -0.28118721334645064, -0.24793149496812922, -0.20599488040516367, -0.15874979383143661, -0.1184923118791672, -0.48023454275174804, -0.512832131822863, -0.5419327373350362, -0.5777950663352771, -0.615363601595367
13, -0.28362680611730745, -0.24637721315563432, -0.20205787081144355, -0.1607228618082523, -0.12083857213141641, -0.4780901480653341, -0.5135009247208713, -0.5465003733303835, -0.575770051531183, -0.6160810314078391
14, -0.2903508643743333, -0.2417526150245044, -0.19316315205327417, -0.160508658325764, -0.11879391100702574, -0.47386310360993905, -0.5136303871439007, -0.5470688823606786, -0.5734172971239486, -0.6196888309939552
15, -0.288485567912033, -0.24111572181835195, -0.2128149319637349, -0.16665617722952986, -0.12396462164818195, -0.4755847999244404, -0.516680227827502, -0.5426461345065996, -0.5742602138594035, -0.6109212877339267
16, -0.2827004219409283, -0.24865867723010582, -0.20951091555254697, -0.16643555315047176, -0.12888156086837044, -0.4752577145653018, -0.5107670464149285, -0.5380557777059334, -0.5734044311818887, -0.6128626971595443
17, -0.02064015448235662, 0.0023165743656567983, 0.039709223080417966, 0.06615881726447276, 0.09901840715082161, 0.258086717136958, -0.2510478550861974, -0.29158512720156554, -0.352930423019268, -0.5125395576856238
18, 0.24969838413006068, 0.27223997935319927, 0.2892627885650492, 0.3192292411601112, 0.3355309159924083, 0.541515371580731, 0.4623699363572078, -0.05622713535867668, -0.12872566300777177, -0.24978977295479116
19, 0.5144987935950867, 0.5247796278158667, 0.5346963793178932, 0.5512116457461647, 0.5621443676557152, 0.6944211544663013, 0.7240785698521297, 0.633247146932953, 0.09777821599947417, 0.015970353377156243
20, 0.7627871774213237, 0.7687626278087307, 0.7736121124729631, 0.7782479692592053, 0.786188644105178, 0.851206664216587, 0.859890310786106, 0.8780472857860742, 0.7763949709972657, 0.28462056715869416
21, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
